Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep
GCTA_est,0.017734,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.017734,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0016929186,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0013939495044684544,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0003402960235819915,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.004718,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0005035384000000001,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,7.086084263881894e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,7.086084263881907e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,8.501563764213583e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.0022949999999999997,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.000385183,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.001507520431121859,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,3.514421800371075e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,3.5144218003710733e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,3.4860170719929877e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.00019814045975233041,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0008027938084034668,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0018927250902649418,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,5.731142962746363e-05,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,4.87781105409078e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,4.877811054090786e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,4.873053690977559e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.000655537,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0008485760610607689,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.001049286070734345,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.002635,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0022861558,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0006539728843663526,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.00025954399999999995,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,2.2219002393245367e-05,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.00036981344055194126,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0007236658,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,9.932859629303831e-05,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.00123,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,5.608832933317341e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,5.608832933317336e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,1.3541263557689044e-05,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.003408,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.003730541199999999,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.000547,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0002714884,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0002519600823544837,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,8.59336e-05,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,4.320375060948174e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,4.320375060948198e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,3.658769101326096e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,5.029569643864218e-05,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0002825072,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.013583000000000001,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.00046407719999999993,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.001381228260646653,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,5.033206083847978e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,5.033206083847974e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,4.754091391211338e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0020698891035259674,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.004803,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,9.999999999999997e-07,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0008908707417289395,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,2.4824513487320912e-05,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.00020199244775216866,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,5.470989027166482e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,5.4709890271664885e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,5.4709380803954675e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0003540779976952975,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.0049689999999999995,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0007302519999999999,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.00031237216973575914,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0001556901263104022,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.00013853799999999998,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0012429644014877942,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,8.159250084687624e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,8.159250084687569e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,5.168276426113465e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0004086667430699609,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,9.999999999999997e-07,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0001300487254862104,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.00023884640000000002,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.1780777526779483,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.23709454495642474,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.11036099999999999,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.000125028,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.23431669019549103,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.2734440886840504,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.186113,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.000351298,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.2335422389410935,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,5.573587447268938e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,5.573587447268931e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,5.458808434300802e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.2517671196979081,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.266286,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,1e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.11605176376463824,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.11631026867399133,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.25617199999999996,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,1e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.14276342501772407,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.12973617277573116,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0010595003999999998,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.2037126289930027,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.20382911189332317,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.145607,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0006635864,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.23751512416370713,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,9.156233271136313e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,9.156233271136323e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,8.798131905673136e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.23705722747027452,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.264735,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0020086756,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.1276594520771086,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,8.540621706594896e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,8.540621706594881e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,8.730523565251947e-06,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.1555120211539193,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.30853800000000003,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0011192480000000002,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.06824578693091547,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.058867149058201805,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.308368,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,9.999999999999997e-07,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.05818779317750919,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,0.25,1e-06,0.75,5000,2,0.9,5,0.05,5,200,EQUAL,3,False
