Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep
GCTA_est,0.017998,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0021456880000000006,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0007905229788235278,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.00227076,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.013515957221748314,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.006009932290511815,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,1e-06,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0008147316483817212,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,0.002879,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.04978828999999999,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.006160838213337122,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0002290003980329592,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.00020687122221601598,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.00019906360618659536,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0034479917320479657,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,0.013054,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0057871,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.006233014155522895,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0003101020925001363,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.00023591579195919636,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0008288682310349153,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,0.02046,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.008903728999999999,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.009804602122037808,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0028951393495532584,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,0.003885,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.004599674,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.004468055190923687,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.01083048,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.00010666545247007169,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,0.027260000000000003,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.00521194,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.008807981,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.004794985585745342,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0007495906970525732,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.008345848,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.012311602575850478,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0019038368595025686,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.012804421,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.002321771446760437,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.019660021,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0006693258099113692,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,0.001737,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.004497476,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.004276347890268448,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.003293792646399885,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,1e-06,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0027907295938521142,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,0.043052999999999994,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.00529817,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0031749800379555254,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,0.03365,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0048924419999999995,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0005530290246040609,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.006644,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.004274079264143234,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
GCTA_est,0.001485,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nGCTA_est,0.006061483,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0006482676581522339,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,1000,5,0.9,5,0.05,5,200,EQUAL,5,False
